yearmonth,serverid,servername,gamescore,year,topn,rankGroupsReturner,rankGroupsServer,ones,serverProbability,serverFrequency
201209,11,Florian Mayer,15-30,2012,100,3,3,1,.55737704,61
201307,11,Florian Mayer,15-30,2013,100,1,5,1,.60377359,106
201401,11,Florian Mayer,15-30,2014,100,1,3,1,.58620691,29
201505,11,Florian Mayer,15-30,2015,100,2,9999,1,.5,28
201108,11,Florian Mayer,15-40,2011,100,2,3,1,.5,24
201205,11,Florian Mayer,15-40,2012,100,1,3,1,.53125,32
201308,11,Florian Mayer,15-40,2013,100,3,5,1,.5471698,53
201401,11,Florian Mayer,15-40,2014,100,4,3,1,.57894737,19
201504,11,Florian Mayer,15-40,2015,100,4,9999,1,.73333335,15
201108,11,Florian Mayer,30-0,2011,100,2,3,1,.64444447,45
201205,11,Florian Mayer,30-0,2012,100,3,3,1,.66923076,130
201310,11,Florian Mayer,30-0,2013,100,6,5,1,.6438356,146
201401,11,Florian Mayer,30-0,2014,100,4,3,1,.7368421,38
201504,11,Florian Mayer,30-0,2015,100,6,9999,1,.7096774,31
201111,11,Florian Mayer,30-15,2011,100,3,3,1,.66666669,48
201201,11,Florian Mayer,30-15,2012,100,6,3,1,.64285713,112
201307,11,Florian Mayer,30-15,2013,100,4,5,1,.5777778,180
201401,11,Florian Mayer,30-15,2014,100,6,4,1,.67500001,40
201506,11,Florian Mayer,30-15,2015,100,4,9999,1,.55882353,34
201111,11,Florian Mayer,30-30,2011,100,3,3,1,.69444442,36
201202,11,Florian Mayer,30-30,2012,100,6,3,1,.51351351,74
201304,11,Florian Mayer,30-30,2013,100,6,3,1,.60714287,140
201401,11,Florian Mayer,30-30,2014,100,1,3,1,.53333336,30
201504,11,Florian Mayer,30-30,2015,100,6,9999,1,.58620691,29
201111,11,Florian Mayer,30-40,2011,100,2,3,1,.60869563,23
201204,11,Florian Mayer,30-40,2012,100,6,2,1,.52830189,53
201307,11,Florian Mayer,30-40,2013,100,1,5,1,.5714286,84
201401,11,Florian Mayer,30-40,2014,100,1,3,1,.51999998,25
201506,11,Florian Mayer,30-40,2015,100,6,9999,1,.65217394,23
201110,11,Florian Mayer,40-0,2011,100,6,3,1,.62068963,29
201203,11,Florian Mayer,40-0,2012,100,1,2,1,.67816091,87
201310,11,Florian Mayer,40-0,2013,100,1,5,1,.56382978,94
201403,11,Florian Mayer,40-0,2014,100,4,4,1,.64285713,28
201506,11,Florian Mayer,40-0,2015,100,6,9999,1,.68181819,22
201110,11,Florian Mayer,40-15,2011,100,5,3,1,.6511628,43
201210,11,Florian Mayer,40-15,2012,100,5,3,1,.63366336,101
201305,11,Florian Mayer,40-15,2013,100,6,3,1,.66206896,145
201401,11,Florian Mayer,40-15,2014,100,6,3,1,.67567569,37
201504,11,Florian Mayer,40-15,2015,100,1,9999,1,.46153846,26
201109,11,Florian Mayer,40-30,2011,100,5,3,1,.67500001,40
201205,11,Florian Mayer,40-30,2012,100,3,3,1,.67567569,74
201307,11,Florian Mayer,40-30,2013,100,6,5,1,.58208954,134
201401,11,Florian Mayer,40-30,2014,100,2,3,1,.6785714,28
201506,11,Florian Mayer,40-30,2015,100,4,9999,1,.61290324,31
201111,11,Florian Mayer,40-40,2011,100,1,3,1,.5925926,27
201202,11,Florian Mayer,40-40,2012,100,6,3,1,.69230771,52
201303,11,Florian Mayer,40-40,2013,100,6,3,1,.61538464,104
201402,11,Florian Mayer,40-40,2014,100,4,3,1,.68181819,22
201506,11,Florian Mayer,40-40,2015,100,6,9999,1,.55555558,27
201109,11,Florian Mayer,40-50,2011,100,6,3,1,.46153846,13
201210,11,Florian Mayer,40-50,2012,100,6,3,1,.42857143,21
201301,11,Florian Mayer,40-50,2013,100,4,3,1,.56862748,51
201401,11,Florian Mayer,40-50,2014,100,1,3,1,.66666669,12
201506,11,Florian Mayer,40-50,2015,100,6,9999,1,.75,16
201108,11,Florian Mayer,50-40,2011,100,2,3,1,.81818181,22
201210,11,Florian Mayer,50-40,2012,100,5,3,1,.74358976,39
201305,11,Florian Mayer,50-40,2013,100,6,3,1,.63749999,80
201401,11,Florian Mayer,50-40,2014,100,1,3,1,.5,20
201506,11,Florian Mayer,50-40,2015,100,4,9999,1,.55000001,20
201111,12,Michael Lammer,0-0,2011,100,5,9999,1,.72000003,25
201210,12,Michael Lammer,0-0,2012,100,6,9999,1,.44444445,9
201111,12,Michael Lammer,0-15,2011,100,5,9999,1,.5714286,7
201210,12,Michael Lammer,0-15,2012,100,6,9999,1,.80000001,5
201111,12,Michael Lammer,0-30,2011,100,4,9999,1,0,3
201210,12,Michael Lammer,0-30,2012,100,6,9999,1,0,1
201111,12,Michael Lammer,0-40,2011,100,5,9999,1,.33333334,3
201210,12,Michael Lammer,0-40,2012,100,6,9999,1,1,1
201111,12,Michael Lammer,15-0,2011,100,5,9999,1,.83333331,18
201210,12,Michael Lammer,15-0,2012,100,6,9999,1,.25,4
201111,12,Michael Lammer,15-15,2011,100,5,9999,1,.5714286,7
201210,12,Michael Lammer,15-15,2012,100,6,9999,1,.42857143,7
201111,12,Michael Lammer,15-30,2011,100,5,9999,1,1,3
201210,12,Michael Lammer,15-30,2012,100,6,9999,1,.25,4
201111,12,Michael Lammer,15-40,2011,100,5,9999,1,1,1
201210,12,Michael Lammer,15-40,2012,100,6,9999,1,.75,4
201111,12,Michael Lammer,30-0,2011,100,5,9999,1,.73333335,15
201210,12,Michael Lammer,30-0,2012,100,6,9999,1,0,1
201111,12,Michael Lammer,30-15,2011,100,5,9999,1,.625,8
201210,12,Michael Lammer,30-15,2012,100,6,9999,1,.25,4
